,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Ga.,Ga.,GPE,0.00000000,0.12500000,en,1.00000000,4000695-5,6255146,L,7.18810000,21.09375000,AFRICA,Central African Republic,CAF
KENNESAW,KENNESAW,GPE,0.00000000,0.12500000,en,1.00000000,,4203696,P,34.02343000,-84.61549000,NORTH-AMERICA,United States,ENA
Kennesaw,Kennesaw,GPE,0.00000000,0.00000000,en,1.00000000,,4203696,P,34.02343000,-84.61549000,NORTH-AMERICA,United States,ENA
South West,South West,LOC,0.20000000,0.18750000,en,1.00000000,,12110881,L,32.83468000,-95.56338000,NORTH-AMERICA,United States,CNA
titelte,titelte,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Great Southern,Great Southern,LOC,0.20000000,0.18750000,en,1.00000000,,3357149,L,-26.00000000,17.00000000,AFRICA,Namibia,WSAF
HOUSTON,HOUSTON,GPE,0.50000000,0.50000000,en,1.00000000,4095673-8,4699066,P,29.76328000,-95.36327000,NORTH-AMERICA,United States,CNA
Kerngebiets Baden-Württemberg,Kerngebiets Baden-Württemberg,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
einem Landtag verbringt,einem Landtag verbringt,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Tzoumerka,Tzoumerka,GPE,0.10937500,0.45729167,en,1.00000000,4761899-1,264382,T,39.44766000,21.15341000,EUROPE-AFRICA,Greece,MED
Ministerpräsidentenwahl,Ministerpräsidentenwahl,LOC,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Schaffe,Schaffe,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
heute,heute,GPE,0.00000000,0.00000000,de,1.00000000,4080283-8,3034640,P,42.70219000,9.45123000,EUROPE-AFRICA,France,MED
Northland,Northland,GPE,0.43333333,0.73333333,en,1.00000000,,6230919,P,-35.73167000,174.32391000,OCEANIA,New Zealand,NZ
Brandenbu,Brandenbu,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
beiden,beiden,GPE,0.00000000,0.00000000,de,1.00000000,,5327255,L,36.81328000,-119.75514000,NORTH-AMERICA,United States,WNA
Flash Flooding,Flash Flooding,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Norddeutschland bleiben geschlossen,Norddeutschland bleiben geschlossen,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Bahn,Bahn,GPE,0.00000000,0.00000000,de,1.00000000,119807-5,2274998,P,6.98528000,-8.85278000,AFRICA,Liberia,WAF
Pricewatch,Pricewatch,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
m März,m März,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
den Wahlkampf,den Wahlkampf,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Rotoehu,Rotoehu,GPE,0.10000000,0.40000000,en,1.00000000,,6236612,H,-38.01822000,176.52021000,OCEANIA,New Zealand,NZ
Kawerau,Kawerau,GPE,0.10000000,0.40000000,en,1.00000000,,2188943,A,-38.09114000,176.68751000,OCEANIA,New Zealand,NZ
South Island,South Island,LOC,-0.60000000,1.00000000,en,1.00000000,,2182504,T,-43.00000000,171.00000000,OCEANIA,New Zealand,NZ
Cold,Cold,LOC,-0.60000000,1.00000000,en,1.00000000,,5925024,P,54.46525000,-110.18154000,NORTH-AMERICA,Canada,NWN
beeinflusst zu haben,beeinflusst zu haben,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Wye River,Wye River,LOC,0.20416667,0.49166667,en,1.00000000,,2178935,H,-41.61667000,173.33333000,OCEANIA,New Zealand,NZ
Co Galway,Co Galway,GPE,0.00000000,0.00000000,en,1.00000000,,6492261,S,53.12000000,-9.04000000,EUROPE,Ireland,NEU
werden,werden,GPE,0.00000000,0.00000000,de,1.00000000,,6047156,H,56.60795000,-75.65325000,NORTH-AMERICA,Canada,NEN
Ostsachsen,Ostsachsen,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Britain,Britain,GPE,-0.29583333,0.40000000,en,1.00000000,4321693-6,4839292,P,41.66121000,-72.77954000,NORTH-AMERICA,United States,ENA
Waren,Waren,GPE,0.00000000,0.00000000,de,1.00000000,,12408483,A,-1.59861000,134.08972000,ASIA,Indonesia,SEA
Lehrkräften,Lehrkräften,GPE,0.00000000,0.00000000,de,1.00000000,,0,,,,,,
Dortmund,Dortmund,GPE,0.00000000,0.00000000,de,1.00000000,4012814-3,2935517,P,51.51494000,7.46600000,EUROPE,Germany,WCE
Southern India,Southern India,LOC,-0.04666667,0.32666667,en,1.00000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
Karaikal,Karaikal,GPE,0.05454545,0.62272727,en,1.00000000,4680025-6,1267887,P,10.91667000,79.83333000,ASIA,India,SAS
Lake STL,Lake STL,LOC,0.10000000,0.40000000,en,1.00000000,,6202777,H,-45.20838000,167.74005000,OCEANIA,New Zealand,NZ
Schulen zu,Schulen zu,GPE,0.00000000,0.00000000,de,1.00000000,,757769,P,54.09562000,20.83171000,EUROPE,Poland,WCE
the Mount Lawson State Park,the Mount Lawson State Park,LOC,-0.25000000,0.25000000,en,1.00000000,,0,,,,,,
Masserberg,Masserberg,GPE,0.00000000,0.00000000,de,1.00000000,4253316-8,2872980,P,50.51981000,10.97087000,EUROPE,Germany,WCE
LAKE ST. LOUIS,LAKE ST. LOUIS,GPE,0.00000000,0.00000000,en,1.00000000,,6041252,H,45.40143000,-73.81404000,NORTH-AMERICA,Canada,ENA
