,phrase,label,sentiment,subjectivity,language,count
Mike Johnson,Mike Johnson,PERSON,-0.2105263157894737,0.4210526315789474,en,1.9
Lesen Sie jetzt „Unwetterwarnung vor Glätte,Lesen Sie jetzt „Unwetterwarnung vor Glätte,PERSON,0.0,0.0,de,1.9
Buslinien wurden eingestellt,Buslinien wurden eingestellt,PERSON,0.0,0.0,de,1.9
Nach Stromausfall,Nach Stromausfall,PERSON,0.0,0.0,de,1.9
Lesen Sie jetzt „Stromausfall,Lesen Sie jetzt „Stromausfall,PERSON,0.0,0.0,de,1.9
Betroffene jetzt hingehen können,Betroffene jetzt hingehen können,PERSON,0.0,0.0,de,1.9
immer noch,immer noch,PERSON,0.0,0.0,de,1.9
Es besteht hohe Glättegefahr,Es besteht hohe Glättegefahr,PERSON,0.0,0.0,de,1.9
Mindestens zwei Menschen kamen,Mindestens zwei Menschen kamen,PERSON,0.0,0.0,de,1.9
gefrierenden Regen und Eisansatz,gefrierenden Regen und Eisansatz,PERSON,0.0,0.0,de,1.9
Südwesten gibt es,Südwesten gibt es,PERSON,0.0,0.0,de,1.9
Brandenburgs - Busse stehen,Brandenburgs - Busse stehen,PERSON,0.0,0.0,de,1.9
Menschen einen Antrag auf Erstattung ihrer Hotelkosten gestellt,Menschen einen Antrag auf Erstattung ihrer Hotelkosten gestellt,PERSON,0.0,0.0,de,1.9
stellvertretende Bezirksbürgermeister von Steglitz,stellvertretende Bezirksbürgermeister von Steglitz,PERSON,0.0,0.0,de,1.9
Das sagte,Das sagte,PERSON,0.0,0.0,de,1.9
wie sie sich,wie sie sich,PERSON,0.0,0.0,de,1.9
Senat warnt,Senat warnt,PERSON,0.0,0.0,de,1.9
Erdrutsch auf Sizilien,Erdrutsch auf Sizilien,PERSON,0.0,0.0,de,1.9
Das Problem,Das Problem,PERSON,0.0,0.0,de,1.9
Bundesstaat Kalifornien,Bundesstaat Kalifornien,PERSON,0.0,0.0,de,1.9
eingestellt worden,eingestellt worden,PERSON,0.0,0.0,de,1.9
Nordwesten Brandenburgs nicht mehr vor Unwettern,Nordwesten Brandenburgs nicht mehr vor Unwettern,PERSON,0.0,0.0,de,1.9
Alice und Tobo,Alice und Tobo,PERSON,0.0,0.0,de,1.9
Wie der Zivilschutz mitteilte,Wie der Zivilschutz mitteilte,PERSON,0.0,0.0,de,1.9
vier Menschen,vier Menschen,PERSON,0.0,0.0,de,1.9
Nacht zum,Nacht zum,PERSON,0.0,0.0,de,1.9
wieder Schnee,wieder Schnee,PERSON,0.0,0.0,de,1.9
Süddeutschland Milliardenschäden,Süddeutschland Milliardenschäden,PERSON,0.0,0.0,de,1.9
Umweltsenatorin ruft,Umweltsenatorin ruft,PERSON,0.0,0.0,de,1.9
Gemeinde Formello,Gemeinde Formello,PERSON,0.0,0.0,de,1.9
späten Donnerstagabend,späten Donnerstagabend,PERSON,0.0,0.0,de,1.9
Ende erneut,Ende erneut,PERSON,0.0,0.0,de,1.9
Regierung steht,Regierung steht,PERSON,0.0,0.0,de,1.9
Das Unglück,Das Unglück,PERSON,0.0,0.0,de,1.9
Manuel Hagel tritt,Manuel Hagel tritt,PERSON,0.0,0.0,de,1.9
Ministerpräsident werden und,Ministerpräsident werden und,PERSON,0.0,0.0,de,1.9
Der Spitzenkandidat der,Der Spitzenkandidat der,PERSON,0.0,0.0,de,1.9
Hunderttausende Haushalte,Hunderttausende Haushalte,PERSON,0.0,0.0,de,1.9
Nacht ein Mensch,Nacht ein Mensch,PERSON,0.0,0.0,de,1.9
Südwesten Frankreichs,Südwesten Frankreichs,PERSON,0.0,0.0,de,1.9
